いちえん	一圓	副詞	
いちでふ	一帖	名詞	
いつかくせんきん	一攫千金	名詞	一攫千金>>一獲千金
いちらん	一覽	名詞サ変	
ひとへ	一重	名詞	
しちてんばつたう	七顛八倒	名詞	七顛八倒>>七転八倒（國）
ぢやうぶ	丈夫	名詞形動	
さんさ	三叉	名詞	
さんさろ	三叉路	名詞	三叉路>>三差路（新）
さんごくし	三國志	固有名詞	
さんげん	三絃	名詞	三絃>>三弦（國）
うはまへ	上前	名詞	
かみのく	上句	名詞	
うへ	上	名詞	
うはむき	上向	名詞	
うはまは	上囘	動詞ラ行五段	
うはぬり	上塗	名詞	
うはばき	上履	名詞	
うはつぱり	上つ張り	名詞	
うはやく	上役	名詞	
うはて	上手	名詞	
じやうず	上手	名詞形動	
うはず	上擦	動詞ラ行五段	
うはがき	上書き	名詞	
うはすべり	上滑	名詞	
うはずみ	上澄	名詞	
うはめ	上目	名詞	
うはめづかひ	上目遣	名詞	
うはぎ	上着	名詞	
うはづみ	上積	名詞	
うはのそら	上の空	名詞	
うはぜ	上背	名詞	
うはてうし	上調子	名詞	
うはべ	上邊	名詞	
うはつら	上面	名詞	
しものく	下句	名詞	
げこくじやう	下尅上	名詞	下尅上>>下克上（國）
ふぐあひ	不具合	名詞	エラー
ぶかつかう	不恰好	名詞形動	不恰好>>不格好（新）
ふだん	不斷	名詞	
ふえう	不要	名詞	
せかいぢゆう	世界中	名詞	
さんじふ	丗	数	
きうりよう	丘陵	名詞	
ちゆうらうゐ	中勞委	名詞	
ちゆうらうい	中勞委	名詞	ちゆうらうゐ
ちゆうごくじん	中國人	固有名詞	差別用語
ちゆうごく	中國	地名	差別用語
ちゆうあう	中央	名詞	
ちゆうがく	中學	名詞	
ちゆうし	中止	名詞サ変	
あか	丹	形容詞	
しゆかんすう	主函數	名詞	
しゆ	主	名詞	單漢字
しゆだい	主題	名詞	
くをん	久遠	名詞	
のりかへ	乘換	動詞一段	
じようば	乘馬	名詞サ変	
にゆうさん	乳酸	名詞	
かんりう	乾溜	名詞	乾溜>>乾留（國）
れうしよう	了承	名詞サ変	うけたまはること
れうけん	了簡	名詞	了簡＊・料簡>>了見（新）
れうかい	了解	名詞サ変	能く理解すること
じじつ	事實	名詞	
ふたへまぶた	二重瞼	名詞	
い	云	動詞ハ行四段	
うんい	云爲	名詞	
しかいふ	云爾	名詞	
ごぎやう	五行	名詞	
ごぎやうせつ	五行説	名詞	
ゐ	井	名詞	
ゐせき	井堰	名詞	
ゐど	井戸	名詞	
ゐづつ	井筒	名詞	
せいあ	井蛙	名詞	
つ	亞	動詞ガ行五段	
あ	亞	名詞	單漢字
ありう	亞流	名詞	
あねつたい	亞熱帯植物	名詞	
あねつたい	亞熱帶	名詞	
ありうさん	亞硫酸	名詞	
あじあ	亞細亞	地名	
あえん	亞鉛	名詞	
あま	亞麻	名詞	
かうふん	亢奮	名詞サ変	昂(亢)奮>>興奮（國）
かうしん	亢進	名詞サ変	昂進・亢進>>高進（新）
かうさ	交叉	名詞サ変	交叉>>交差（國）
かうさてん	交叉點	名詞	
かうせふ	交涉	名詞サ変	
かうくわん	交驩	名詞サ変	交驩>>交歓（國）
ゐ	亥	名詞	
ゐどし	亥年	名詞	
きやうをんな	京女	名詞	
にんぎやう	人形	名詞	
にんずう	人數	名詞	
じんゐ	人爲	名詞	
じんい	人爲	名詞	じんゐ
けふ	今日	名詞	
こんげう	今曉	名詞	
れいぢやう	令孃	名詞	
いじやう	以上	名詞	
あふ	仰	動詞ガ行五段	
あふむ	仰向	動詞カ行五段	
ぎやうてん	仰天	名詞サ変	
きくわく	企劃	名詞サ変	
きげふ	企業	名詞サ変	
ぎりやう	伎倆	名詞	伎倆（技倆）>>技量（國）
きうか	休暇	名詞	
きうやう	休養	名詞サ変	
しんちやう	伸暢	名詞サ変	伸暢>>伸長（國）
くらゐ	位	名詞	
ゐ	位	名詞	單漢字
ていくわい	低徊	名詞サ変	{彳低-イ}徊>>低回（國）
ぢゆうみん	住民	名詞	
いづれ	何	名詞	
ぶつざう	佛像	名詞	
さげふ	作業	名詞	
さくゐ	作爲	名詞	
さくい	作爲	名詞	さくゐ
つか	使	動詞ハ行四段	
つかひかた	使ひ方	名詞	
れいぐわい	例外	名詞形動	
れいくわい	例會	名詞	
しんりやく	侵掠	名詞サ変	侵掠>>侵略（國）
しんしよく	侵蝕	名詞サ変	侵蝕>>侵食（國）
りえう	俚謠	名詞	俚謠>>里謡（國）
ほぼ	保姆	名詞	保姆>>保母（國）
ほいく	保育	名詞サ変	乳幼児を保護し育てること。
ほけん	保險	名詞	
しんがう	信號	名詞	
しうせい	修正	名詞サ変	
しゆぎやう	修行	名詞サ変	
ほうきふ	俸給	名詞	
あはせ	倂せ	動詞一段	
たうくわい	倒潰	名詞サ変	倒れつぶれること、倒潰>>倒壊（國）
さうら	候	動詞ハ行四段	
さうらふぶん	候文	名詞	
しやういう	倡優	名詞	俳優のこと
あたひ	値	名詞	
かな	假名	名詞	
かなづかひ	假名遣	名詞	
ゐぢやうふ	偉丈夫	名詞	
いぢやうふ	偉丈夫	名詞	ゐぢやうふ
ゐじん	偉人	名詞	
ゐ	偉	名詞	
ゐだい	偉大	名詞形動	
ゐよう	偉容	名詞形動	
ゐさい	偉才	名詞	
ゐげふ	偉業	名詞	
いげふ	偉業	名詞	ゐげふ
ゐくわん	偉觀	名詞形動	
いくわん	偉觀	名詞形動	ゐくわん
へんづつう	偏頭痛	名詞	偏頭痛>>片頭痛（他）
けんかう	健康	名詞	
けんゐざい	健胃劑	名詞	
けんいざい	健胃劑	名詞	けんゐざい
がは	側	名詞	
つたへ	傳へ	動詞一段	
つたは	傳は	動詞ラ行五段	
でんとう	傳統	名詞	
でんぶん	傳聞	名詞	
いつは	僞	動詞ラ行五段	
かち	價値	名詞	
あたひ	價	名詞	
いう	優	名詞	
いうあく	優渥	名詞	
いうしゆん	優駿	名詞	優駿>>優俊（新）
げんぜん	儼然	名詞	儼然>>厳然（國）
げんきよう	元兇	名詞	元兇>>元凶（國）
げんき	元氣	名詞	
きやうだい	兄弟	名詞	
じゆうじつ	充實	名詞サ変	
きようじん	兇刃	名詞	兇刃>>凶刃（國）
きようき	兇器	名詞	兇器>>凶器
きようばう	兇暴	名詞形動	兇暴>>凶暴（國）
きようかん	兇漢	名詞	兇漢>>凶漢（國）
きようかう	兇行	名詞	兇行>>凶行（國）
きようへん	兇變	名詞	兇変>>凶変（國）
まづ	先づ	名詞	
せんたん	先端	名詞	長い物の一番端の部分。
くわう	光	名詞	單漢字
くわうせん	光線	名詞	
にふりよく	入力	名詞サ変	
にふりよくき	入力器	名詞	
にふがく	入學	名詞サ変	
にふもん	入門	名詞サ変	
にふゐん	入院	名詞	
にふいん	入院	名詞	にふゐん
ないざう	內臟	名詞	
ぜんくわい	全壊	名詞サ変	まつたくこはれること
ぜんくわい	全潰	名詞サ変	まつたくつぶれること
ぜんしふ	全集	名詞	
ぜんたい	全體	名詞	
ぜんたいてき	全體的	名詞形動	
やうか	八日	名詞	
やへざくら	八重櫻	名詞	
ろくでふ	六疊	名詞	
きようやく	共軛	名詞形動	共軛>>共役
きようつう	共通	名詞形動	
そこ	其處	名詞	
ないがん	内含	名詞サ変	
うちわけ	内訣	名詞	
じようだん	冗談	名詞	
ぎようしふ	凝集	名詞サ変	
きようじん	凶刃	名詞	兇刃>>凶刃（國）
きようき	凶器	名詞	兇器>>凶器（國）
あふとつ	凹凸	名詞	
あふ	凹	名詞	單漢字
でき	出來	動詞一段	
しゆつりよく	出力	名詞サ変	
であ	出會	動詞ハ行四段	
であひ	出會	名詞	
すいたふ	出納	名詞	
かんすう	函數	名詞	函数>>関数
たうけん	刀劍	名詞	
ぶんりう	分溜	名詞サ変	分溜>>分留
せいぎよ	制禦	名詞サ変	制馭(禦)>>制御（國）
せいぎよ	制馭	名詞サ変	制馭(禦)>>制御（國）
しげき	刺戟	名詞サ変	刺戟>>刺激（國）
さくぢよ	削除	名詞サ変	
まへ	前	名詞	
まへかは	前川	姓	
さうめつ	剿滅	名詞サ変	みなごろし
くわく	劃	名詞	
くわくきてき	劃期的	名詞形動	劃期的>>画期的（國）
くわくぜん	劃然	名詞	劃然>>画然（國）
けん	劍	名詞	單漢字
いさを	功	名詞	
じよどうし	助動詞	名詞	
こふ	劫	名詞	
ゆうき	勇氣	名詞	
まい	まゐ	動詞ラ行五段	
い	ゐ	動詞ラ行五段	
どうてん	動顚	名詞サ変	
しようり	勝利	名詞サ変	
らうどう	勞働	名詞	
いたは	勞	動詞ラ行五段	
らう	勞	名詞	
いきほひ	勢ひ	名詞	
くわんいう	勸誘	名詞	
こういん	勾引	名詞サ変	勾引>>拘引（新）
はうゐ	包圍	名詞サ変	
はうい	包圍	名詞サ変	はうゐ
かがく	化學	名詞	
ばけがく	化學	名詞	方便
ほくゐ	北緯	名詞	
くべつ	區別	名詞サ変	
くくわく	區劃	名詞	区劃>>区画（國）
くゐき	區域	名詞	
くいき	區域	名詞	くゐき
もち	十五日	名詞	
じふ	十	数	
じふぐわつ	十月	名詞	
じつかい	十誡	名詞	
とへはたへ	十重二十重	名詞	
はんけい	半徑	名詞	
けふくわい	協會	名詞	
なんゐ	南緯	名詞	
うらな	占	動詞ハ行四段	
あやふい	危い	形容詞	
あやふ	危ふ	形容詞	
らんわう	卵黃	名詞	
しりぞけ	卻	動詞一段	
ばうだい	厖大	名詞形動	形容動詞で、量や規模が大きいさま。
あき	厭	動詞一段	
いと	厭	動詞ハ行四段	
さんにふ	參入	名詞サ変	
さんか	參加	名詞サ変	
まい	參	動詞ラ行五段	まゐる
まゐ	參	動詞ラ行五段	
きふだい	及第	名詞サ変	
ゆうぎ	友誼	名詞	友誼>>友宜（新）
はんぱつ	反撥	名詞サ変	反撥>>反発（國）
しうれん	收斂	名詞サ変	
しゆとく	取得	名詞サ変	
とりあへず	取敢ず	名詞	
じゆしん	受信	名詞サ変	
はんらん	叛亂	名詞サ変	叛乱>>反乱（國）
はんき	叛旗	名詞	叛旗>>反旗（國）
はんぎやく	叛逆	名詞サ変	叛逆>>反逆（國）
えいち	叡智	名詞	叡智>>英知
こきんしふ	古今集	固有名詞	
とほかがみ	古今集遠鏡	固有名詞	
こてんぶんぱふ	古典文法	名詞	
いにしへ	古	名詞	
こじやう	古城	名詞	
こき	古稀	名詞	古稀>>古希（國）
こせき	古蹟	名詞	古蹟>>古跡（國）
けうくわん	叫喚	名詞サ変	
ていねい	叮嚀	名詞形動	叮嚀>>丁寧（國）
かはいさう	可哀相	名詞形動	
かはい	可愛	形容詞	
しせき	史蹟	名詞	史蹟>>史跡（國）
うわうさわう	右往左往	名詞サ変	
きつすい	吃水	名詞	吃水>>喫水（國）
あはせ	合せ	動詞一段	
あ	合	動詞ハ行四段	
がふどう	合同	名詞	
あひづ	合圖	名詞サ変	
あひふく	合服	名詞	
がふり	合理	名詞	
がふりてき	合理的	名詞形動	
がふべん	合辦	名詞サ変	合辦（辛二つの間に力）>>合弁
あひかぎ	合鍵	名詞	
あひごま	合駒	名詞	
きつきよう	吉凶	名詞	
なまへ	名前	名詞	
ういすきー	ウヰスキー	名詞	
かげろう	かげろう>>かげろふ	名詞	
ふくろう	ふくろふ	名詞	
くれない	くれなゐ	名詞	
います	ゐます	名詞	
くらい	くらゐ	名詞	
いえ	ゐゑ	名詞	假名入力用
いえ	ヰヱ	名詞	假名入力用
いる	ゐる	名詞	
こえ	こゑ	名詞	
づつ	づゝ	名詞	
いた	ゐた	名詞	
ずつ	づゝ	名詞	ずつ>>づゝ
こひ	戀	名詞	
めいよよく	名譽慾	名詞	名譽慾>>名誉欲（國）
めいよきそん	名譽毀損	名詞	名譽毀損>>名誉棄損（新）
めいい	名醫	名詞	
ぎんしよう	吟誦	名詞サ変	吟誦>>吟唱（國）
す	吸	動詞ハ行四段	
しうい	周圍	名詞	
しうゐ	周圍	名詞	
しうい	周圍	名詞	しうゐ
あぢつけ	味付	名詞	
あぢは	味は	動詞ハ行四段	
あぢ	味	名詞	
あぢけ	味氣	名詞	
あぢみ	味見	名詞サ変	
あへ	和へ	動詞一段	
わき	和氣	名詞	
わきあいあい	和氣靄靄	名詞形動	
あへもの	和物	名詞	
わら	咲	動詞ハ行四段	
わら	咲	動詞ハ行四段	
せう	咲	名詞	
あいしやう	哀傷	名詞サ変	
あはれ	哀	動詞マ行五段	
あはれ	哀	名詞	
あいたう	哀悼	名詞サ変	
あいしう	哀愁	名詞	
あいくわん	哀歡	名詞サ変	
あいぐわん	哀願	名詞サ変	
ほいく	哺育	名詞サ変	哺育>>保育（國）
うた	唄	動詞ハ行四段	
あきな	商	動詞ハ行四段	
あきなひ	商	名詞	
あきもの	商物	名詞	
しやうばい	商賣	名詞	
もんだふ	問答	名詞サ変	
おし	啞	名詞	
あぜん	啞然	名詞	
あれい	啞鈴	名詞	啞（唖）鈴>>亜鈴
ぜんあく	善惡	名詞	
あへ	喘	動詞ガ行五段	
たんじゆん	單純	名詞形動	
たんご	單語	名詞	
ああ	嗚呼	感動詞	
ああ	嗟呼	感動詞	
ああ	嗟嗟	感動詞	
うはさ	噂	名詞	
うつは	器	名詞	
ああ	噫呼	感動詞	
あいえつ	噫噎	名詞	
いき	噫氣	名詞	
あいを	噫烏	名詞	
いかめし	嚴	形容詞	
くわいき	囘歸	名詞	
くわいゆう	囘游	名詞サ変	囘游>>回遊
しい	四圍	名詞	しゐ
しせい	四聲	名詞	
いんえん	因緣	名詞	發音はインネン
こくじ	國字	名詞	
こくぶん	國文	名詞	
こくぶんがく	國文學	名詞	
こくすいしゆぎ	國粋主義	名詞	
こくすいしゆぎしや	國粋主義者	名詞	
こくご	國語	名詞	
こくごがく	國語學	名詞	
こくすい	國酔	名詞	
かこ	圍	動詞マ行五段	
かこ	圍	動詞ハ行四段	
ゐろり	圍爐裏	名詞	
いろり	圍爐裏	名詞	ゐろり
ゐご	圍碁	名詞	
いご	圍碁	名詞	ゐご
えんたく	圓卓	名詞	
まどか	圓	名詞	
つぶら	圓	名詞形動	
えんしう	圓周	名詞	
まる	圓	形容詞	
えんかつ	圓滑	名詞形動	
えんまん	圓滿	名詞形動	
えんねつ	圓熱	名詞	
づ	圖	名詞	
づぐわ	圖畫	名詞	
いま	在	動詞サ行五段	
ちづ	地圖	名詞	
ちゐき	地域	名詞	
ちたい	地帶	名詞	
ぢしん	地震	名詞	
ぢめん	地面	名詞	
きんせい	均斉	名詞	均斉>>均整（新）
ざす	坐洲	名詞サ変	坐洲>>座州（國）
ざせう	坐礁	名詞サ変	坐礁>>座礁（國）
ざし	坐視	名詞サ変	坐視>>座視（國）
えじぷと	埃及	地名	
ほこり	埃	名詞	
ちり	埃	名詞	
あいど	埃土	名詞	
あいぢん	埃塵	名詞	
あいめつ	埃滅	名詞	
うづ	埋	動詞マ行五段	
ゐきない	域内	名詞	
はにふ	埴生	名詞	
しふちやく	執着	名詞サ変	
だう	堂	名詞	呉音
たう	堂	名詞	漢音
うづたか	堆	形容詞	
ほるい	堡塁	名詞	堡塁>>保塁（新）
ちやうちん	堤燈	名詞	
ていばう	堤防	名詞	
ばしよ	場所	名詞	
ぢんあい	塵埃	名詞	
ぼくじふ	墨汁	名詞	
くわいらん	壞亂	名詞サ変	やぶれ亂れること
ゆふ	夕	名詞	
ゆふがた	夕方	名詞	
ゆふひ	夕日	名詞	
ゆふしよく	夕食	名詞	
ぐわいしゆつ	外出	名詞サ変	
ぐわいこく	外國	名詞	
ぐわいえん	外緣	名詞	
やしよく	夜食	名詞	
だいぢやうぶ	大丈夫	名詞	
だいぢやうぶ	大丈夫	名詞形動	
たいしやう	大將	名詞	
おほはば	大幅	名詞形動	
たいよく	大慾	名詞	大慾>>大欲（國）
だいづ	大豆	名詞	
てんごく	天國	名詞	
てんわう	天王	名詞	
てんわう	天皇	名詞	
てんわう	天皇陛下	名詞	
たいかふ	太閤	名詞	
たいやう	太陽	名詞	
うしな	失	動詞ハ行四段	
ほうしゆく	奉祝	名詞	
ほんぱう	奔放	名詞形動	
おく	奧	名詞	
あうぎ	奧義	名詞	
うば	奪	動詞ハ行四段	
だつりやく	奪掠	名詞サ変	奪掠>>奪略（國）
をんな	女	名詞	
ぢよせい	女性	名詞	
ぢよい	女醫	名詞	
かうを	好惡	名詞	
まうどう	妄動	名詞サ変	妄動>>盲動（國）
まうしふ	妄執	名詞サ変	妄執>>盲執（新）
まうねん	妄念	名詞	妄念>>盲念（新）
まうさう	妄想	名詞サ変	妄想>>盲想（新）
めう	妙	名詞形動	
ばうがい	妨害	名詞	相手に危害を加えて物事の遂行を妨げること。
ばうがい	妨碍	名詞サ変	道に物を置いて通行を妨げること。
しはつえき	始發驛	名詞	
ゐにん	委任	名詞サ変	
ゐ	委	名詞	
ゐいん	委員	名詞	
いしよく	委嘱	名詞	ゐしよく
ゐしよく	委嘱	名詞サ変	
ゐきよく	委曲	名詞	
いきよく	委曲	名詞	ゐきよく
ゐさい	委細	名詞	
ゐさいかま	委細構	動詞ハ行四段	
ゐたく	委託	名詞	
ゐたけだか	威丈高	名詞形動	
ゐしん	威信	名詞	
ゐぎ	威儀	名詞	
ゐりよく	威力	名詞	
いりよく	威力	名詞	ゐりよく
ゐせい	威勢	名詞	
ゐ	威	名詞	
ゐかく	威嚇	名詞サ変	
ゐげん	威嚴	名詞	
いげん	威嚴	名詞	ゐげん
いあつ	威壓	名詞	ゐあつ
ゐあつ	威壓	名詞サ変	
ゐば	威張	動詞ラ行五段	
いんらん	婬亂	名詞形動	
いんぷ	婬婦	名詞	
いんび	婬靡	名詞形動	
ばいたい	媒體	名詞	
かうわ	媾和	名詞サ変	媾和>>講和（國）
きき	嬉々	名詞	嬉々>>喜々
きゆうきよく	嬉遊曲	名詞	嬉遊曲>>喜遊曲
えいじ	嬰兒	名詞	
えいきがう	嬰記號	名詞	
あな	孔	名詞	
いづれ	孰	名詞	
がくもん	學問	名詞	
がくせい	學生	名詞	
がくしや	學者	名詞	
がくしや	學舍	名詞	
がくいん	學院	名詞	がくゐん
うちう	宇宙	名詞	
しゆえい	守衞	名詞	
いづくんぞ	安	名詞	
くわうさう	宏壯	名詞形動	宏壮>>広壮（國）
くわうだい	宏大	名詞形動	宏大>>広大（國）
しゆうけう	宗敎	名詞	
ていか	定家	名	
ぢやうせき	定石	名詞	
あたかも	宛も	名詞	
きゆうでん	宮殿	名詞	
いへ	家	名詞	
しゆくえん	宿緣	名詞	
しゆくえき	宿驛	名詞	
い	寐	動詞ナ行五段	
じつし	實施	名詞サ変	
じつげん	實現	名詞サ変	
じつよう	實用	名詞	
じつかう	實行	名詞サ変	
うつ	寫	動詞ラ行五段	
うつ	寫	動詞サ行五段	
しや	寫	名詞	單漢字
しやほん	寫本	名詞	
しやしん	寫眞	名詞	
じゐん	寺院	名詞	
しやうぐん	將軍	名詞	
せんもん	專門	名詞形動	
せんもんか	專門家	名詞	
ゐ	尉	名詞	
いくわん	尉官	名詞	ゐくわん
たい	對	名詞サ変	
たいわう	對應	名詞サ変	
たいひ	對比	名詞サ変	
たいしやう	對象	名詞	
だうにふ	導入	名詞サ変	
せうがく	小學	名詞	
をがは	小川	名詞	
をざは	小澤	姓	
せうせつ	小說	名詞	
せうねん	少年	名詞	
せんぺい	尖兵	名詞	尖兵>>先兵（新）
せんたん	尖端	名詞	尖った物の先の部分。
せんえい	尖鋭	名詞形動	尖鋭>>先鋭（國）
ついて	就て	名詞	
ゐ	居	動詞一段	
したい	屍體	名詞	屍体>>死体（國）
ぞく	屬	名詞サ変	
いは	岩	名詞	
いはな	岩魚	名詞	
たうげ	峠	名詞	
ほうくわい	崩潰	名詞サ変	崩潰>>崩壊（國）
けんそ	嶮岨	名詞形動	嶮岨>>険阻（國）
いはほ	巖	名詞	
いは	巖	名詞	
かは	川	名詞	
せんりう	川柳	名詞	
さゐ	差異	名詞	
しぢやう	市場	名詞	
ふえん	布衍	名詞サ変	布衍>>敷延（新）
きばう	希望	名詞	
ゐ	帷	名詞	單漢字
ゐあく	帷幄	名詞	
ゐばく	帷幕	名詞	
じやうしき	常識	名詞	
とばり	幄	名詞	
あく	幄	名詞	單漢字
あくばく	幄幕	名詞	
とばりのざ	幄の座	名詞	
あくざ	幄座	名詞	
あくしや	幄舍	名詞	
まくあひ	幕間	名詞	
ほしいひ	干飯	名詞	
ひやうそく	平仄	名詞	
えうねん	幼年	名詞	
いくぢゆう	幾重	名詞	
いくへ	幾重	名詞	
そこぢから	底力	名詞	
はうちやう	庖丁	名詞	庖丁>>包丁（國）
いま	座	動詞サ行五段	
いほり	庵	名詞	
らうか	廊下	名詞	
べうぎ	廟議	名詞	
はいきよ	廢墟	名詞	廢墟>>廃虚（新）
はいき	廢棄	名詞サ変	
くわうだい	廣大	名詞形動	
くわうはん	廣汎	名詞形動	廣汎>>広範（國）
こんりふ	建立	名詞サ変	
けんぺいりつ	建蔽率	名詞	建蔽率>>建坪率
まは	廻	動詞ラ行五段	
まわ	廻	動詞ラ行五段	
まはり	廻	名詞	
くわいらう	廻廊	名詞	廻廊>>回廊（國）
くわいてん	廻轉	名詞サ変	廻転>>回転（國）
にじふ	廿	数	
きゆうじゆつ	弓術	名詞	
てうゐ	弔慰	名詞サ変	
てうい	弔慰	名詞サ変	てうゐ
ひきすう	引數	名詞	
こうはう	弘報	名詞サ変	弘報>>広報（國）
がうよく	強慾	名詞形動	強慾>>強欲（國）
がういん	强引	名詞形動	
わんにふ	彎入	名詞サ変	彎入>>湾入（國）
わん	彎	名詞	彎>>湾（國）
わんきよく	彎曲	名詞サ変	彎曲>>湾曲（國）
わうらい	往來	名詞	
こうせつ	後接	名詞サ変	
いたづら	徒	名詞形動	
いたづら	徒	副詞	
じゆうじゆん	從順	名詞形動	
ごらん	御覽	名詞	
びせう	微笑	名詞サ変	
きしやう	徽章	名詞	身分・資格・所屬團體などを表すために、衣服・帽子などにつけるしるしのこと。
しんぱく	心搏	名詞	心搏>>心拍
ひつえう	必要	名詞	
いまはし	忌	形容詞	
くわいくわつ	快濶	名詞形動	快濶>>快活（國）
ねんぐわん	念願	名詞	
しゐ	思惟	名詞サ変	
しさう	思想	名詞	
きふむ	急務	名詞	
きようふ	恐怖	名詞	
きようくわう	恐慌	名詞	
あやし	恠	形容詞	
くわいふく	恢復	名詞サ変	恢復>>回復（國）
はぢ	恥	名詞	
おんぎ	恩誼	名詞	恩誼>>恩義
かつかう	恰好	名詞形動	恰好>>格好（新）
かくかう	恰好	名詞	恰好>>格好（新）
かつぷく	恰幅	名詞	恰幅>>格幅（新）
はいとく	悖徳	名詞	悖徳>>背徳（國）
ゆうぜん	悠然	名詞	悠然>>裕然
りこう	悧口	名詞形動	口先がたくみ。
りかう	悧巧	名詞形動	心の働がが素早くたくみ
わる	悪	名詞	
じやうほう	情報	名詞	
じやうぎ	情義	名詞	人情と義理のこと。
じやうぎ	情誼	名詞	人とつきあふ上での人情や誠意のこと。
まど	惑	動詞ハ行四段	
ゐゐ	惟々	名詞	
ゐ	惟	名詞	單漢字
あくじ	惡事	名詞	
あくにん	惡人	名詞	
あし	惡	名詞	
を	惡	名詞	
ぞうを	憎惡	名詞サ変	
をかん	惡寒	名詞	
あくい	惡意	名詞	
あくかんじやう	惡感情	名詞	
あくせん	惡戰	名詞サ変	
あくせんくとう	惡戰苦鬭	名詞	
あくひつ	惡筆	名詞	
あくせん	惡錢	名詞	
そうざい	惣菜	名詞	惣菜>>総菜（國）
うれへ	愁へ	動詞一段	
ゆくわい	愉快	名詞	
こころ	意	名詞	
いかう	意嚮	名詞	意嚮>>意向
いと	意圖	名詞サ変	
をし	愛	動詞マ行五段	
あい	愛	名詞サ変	
あいかう	愛好	名詞サ変	
いとほし	愛	形容詞	
あいきやう	愛敬	名詞	
あいぎやう	愛敬	名詞	
あいぐわん	愛玩	名詞サ変	
あいしやう	愛稱	名詞	
あいるらんど	愛蘭	地名	
あいどく	愛讀	名詞サ変	
あいどくしよ	愛讀書	名詞	
かんじやう	感情	名詞	
ゐらう	慰勞	名詞サ変	
いろう	慰勞	抑制単語	ゐらう
ゐもん	慰問	名詞サ変	
ゐあん	慰安	名詞サ変	
ゐしや	慰籍	名詞サ変	
いしや	慰籍	名詞サ変	ゐせき
ゐしやれう	慰藉料	名詞	慰藉料>>慰謝料
いしやれう	慰藉料	名詞	慰藉料>>慰謝料、ゐしやれう
いれい	慰靈	名詞	ゐれい
ゐれい	慰靈	名詞サ変	
ゐれいさい	慰靈祭	名詞	
いれいさい	慰靈祭	名詞	ゐれいさい
よく	慾	名詞	慾>>欲
うれへ	憂へ	動詞一段	
いううつ	憂鬱	名詞形動	
ぞうを	憎惡	名詞サ変	
いきどほ	憤	動詞ラ行五段	
おうたう	應當	名詞サ変	
おうたふ	應答	名詞サ変	
くわいふうさう	懷風藻	固有名詞	
いだ	懷	動詞カ行五段	
いぬゐ	戌亥	名詞	
じやうじゆ	成就	名詞サ変	
せんせんきようきよう	戰々兢々	名詞	戦々兢々>>戦々恐々（國）
せんぼつ	戰歿	名詞サ変	戦歿>>戦沒（國）
せんさう	戰爭	名詞サ変	
しよいう	所有	名詞	
いはゆる	所謂	名詞	
へんぺい	扁平	名詞	扁平>>偏平
あふ	扇	動詞ガ行五段	
あふぎ	扇	名詞	
ててふ	手帖	名詞	
てちやう	手帳	名詞	
てうづ	手水	名詞	
しゆせき	手蹟	名詞	手蹟>>手跡（國）
こうぢよ	扣除	名詞サ変	扣除>>控除（國）
ふんさう	扮裝	名詞サ変	扮裝>>粉装
あつか	扱	動詞ハ行四段	
うけたまは	承	動詞ラ行五段	
しようだく	承諾	名詞サ変	
せう	抄	名詞	
せうろく	抄録	名詞サ変	
じよじやう	抒情	名詞	抒情>>叙情（國）
はうき	抛棄	名詞サ変	なげすてる、すておく
はうき	抛棄	名詞サ変	抛棄>>放棄（國）
はうぶつ	抛物	名詞	
ほるもん	抛物	名詞	ホルモン>>抛る物
はうぶつせん	抛物線	名詞	抛物線>>放物線（國）
ばつすい	抜萃	名詞サ変	抜萃>>抜粋（國）
ひれき	披瀝	名詞サ変	披瀝>>披歴（新）
ひろう	披露	名詞サ変	
あふしう	押收	名詞サ変	
あふゐん	押韻	名詞	
あふいん	押韻	名詞	あふゐん
ちうしゆつ	抽出	名詞サ変	
ちうせん	抽籤	名詞サ変	抽籤>>抽選（新）
ぼし	拇指	名詞	拇指>>母指（新）
しへう	指標	名詞	
かくとう	挌闘	名詞	挌闘>>格闘
ひら	挨	動詞カ行五段	
あいさつ	挨拶	名詞	
ほうじ	捧持	名詞サ変	捧持>>奉持（新）
さうめつ	掃滅	名詞サ変	はらひのけほろぼすこと
しやうあく	掌握	名詞サ変	
はいれつ	排列	名詞サ変	排列>>配列
くつさく	掘鑿	名詞サ変	掘鑿>>掘削（國）
りやくだつ	掠奪	名詞サ変	掠奪>>略奪（國）
せつぞく	接續	名詞サ変	
すいりやう	推諒	名詞	スヰリヤウ
すいりやう	推量	名詞	スヰリヤウ
えんご	掩護	名詞サ変	敵の攻撃から、味方の行動を守ること。
べうしや	描寫	名詞サ変	
べうぐわ	描畫	名詞サ変	
さふにふ	插入	名詞サ変	
あくりよく	握力	名詞	
あくしゆ	握手	名詞サ変	
えんご	援護	名詞サ変	困っている人を助け守ること。
さふわ	插話	名詞	
はくどう	搏動	名詞サ変	搏動>>拍動
もさく	摸索	名詞サ変	摸索>>模索（國）
さんぷ	撒布	名詞サ変	撒布>>散布（國）
さんぷづ	撒布圖	名詞	
さんすい	撒水	名詞	撒水>>散水（國）
はつおんびん	撥音便	名詞	
せんしう	撰修	名詞	撰修>>選修
せんじや	撰者	名詞	撰者>>選者
せんしふ	撰集	名詞	撰集>>選集
せんだん	擅斷	名詞サ変	擅斷>>専断（國）
えら	擇	動詞バ行五段	
